state,action,condition,q0,qh,rescue_gain
choose_tool,correct_tool,H0,1.0,1.0,0.0
choose_tool,correct_tool,H1,1.0,1.0,0.0
choose_tool,correct_tool,H2,1.0,1.0,0.0
choose_tool,correct_tool,H3,1.0,1.0,0.0
choose_tool,correct_tool,Hplacebo,1.0,1.0,0.0
choose_tool,wrong_tool,H0,0.0,0.0,0.0
choose_tool,wrong_tool,H1,0.0,0.0,0.0
choose_tool,wrong_tool,H2,0.0,1.0,1.0
choose_tool,wrong_tool,H3,0.0,1.0,1.0
choose_tool,wrong_tool,Hplacebo,0.0,0.0,0.0
choose_tool,premature_finish,H0,0.0,0.0,0.0
choose_tool,premature_finish,H1,0.0,0.0,0.0
choose_tool,premature_finish,H2,0.0,1.0,1.0
choose_tool,premature_finish,H3,0.0,1.0,1.0
choose_tool,premature_finish,Hplacebo,0.0,0.0,0.0
fill_args,valid_call,H0,1.0,1.0,0.0
fill_args,valid_call,H1,1.0,1.0,0.0
fill_args,valid_call,H2,1.0,1.0,0.0
fill_args,valid_call,H3,1.0,1.0,0.0
fill_args,valid_call,Hplacebo,1.0,1.0,0.0
fill_args,missing_argument,H0,0.0,0.0,0.0
fill_args,missing_argument,H1,0.0,0.0,0.0
fill_args,missing_argument,H2,0.0,1.0,1.0
fill_args,missing_argument,H3,0.0,1.0,1.0
fill_args,missing_argument,Hplacebo,0.0,0.0,0.0
fill_args,wrong_tool,H0,0.0,0.0,0.0
fill_args,wrong_tool,H1,0.0,0.0,0.0
fill_args,wrong_tool,H2,0.0,0.0,0.0
fill_args,wrong_tool,H3,0.0,0.0,0.0
fill_args,wrong_tool,Hplacebo,0.0,0.0,0.0
fill_args,premature_finish,H0,0.0,0.0,0.0
fill_args,premature_finish,H1,0.0,0.0,0.0
fill_args,premature_finish,H2,0.0,1.0,1.0
fill_args,premature_finish,H3,0.0,1.0,1.0
fill_args,premature_finish,Hplacebo,0.0,0.0,0.0
tool_response,finish,H0,1.0,1.0,0.0
tool_response,finish,H1,1.0,1.0,0.0
tool_response,finish,H2,1.0,1.0,0.0
tool_response,finish,H3,1.0,1.0,0.0
tool_response,finish,Hplacebo,1.0,1.0,0.0
tool_response,premature_finish,H0,0.0,0.0,0.0
tool_response,premature_finish,H1,0.0,0.0,0.0
tool_response,premature_finish,H2,0.0,1.0,1.0
tool_response,premature_finish,H3,0.0,1.0,1.0
tool_response,premature_finish,Hplacebo,0.0,0.0,0.0
